ZIP,BLDGNO1,STREET1,STSUFX1,COUNTY,CITY,STATUS1,STATUS2,STATUS3,BLOCK,LOT,full_address
11212,824,HOWARD,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3565,49,824 HOWARD AVE
11212,75,TO 107 JUNIUS,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,3696,7501,75 TO 107 JUNIUS ST
11212,166,JUNIUS,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,3712,33,166 JUNIUS ST
11212,17,LEGION,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,3514,33,17 LEGION ST
11212,341,TO 355 LEGION,ST,61,BROOKLYN,MULTIPLE,DWELLING,B,3582,6,341 TO 355 LEGION ST
11212,352,LEGION,ST,61,BROOKLYN,MULTIPLE,DWELLING,A,3581,1,352 LEGION ST
11212,397,LEGION,ST,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3595,13,397 LEGION ST
11212,1107,TO 1117 LENOX,RD,61,BROOKLYN,MULTIPLE,DWELLING,A,4650,46,1107 TO 1117 LENOX RD
11212,1119,LENOX,RD,61,BROOKLYN,MULTIPLE,DWELLING,A,4651,46,1119 LENOX RD
11212,90,LIBERTY,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3692,16,90 LIBERTY AVE
11212,103,TO 105 LIBERTY,AVE,MULTIPLE,DWELLING,A,421-A,(16),3675,25,103 TO 105 LIBERTY AVE
11212,7,TO 21 LIVONIA,AVE,MULTIPLE,DWELLING,A,ARTICLE,11,3566,6,7 TO 21 LIVONIA AVE
11212,30,LOTT,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3620,30,30 LOTT AVE
11212,51,LOTT,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3610,5,51 LOTT AVE
11212,54,LOTT,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3621,35,54 LOTT AVE
11212,73,LOTT,AVE,MULTIPLE,DWELLING,A,GARDEN,COMPLEX,3611,7,73 LOTT AVE
11212,75,LOTT,AVE,MULTIPLE,DWELLING,A,421-A,(16),3611,5,75 LOTT AVE
11212,165,TO 167 LOTT,AVE,MULTIPLE,DWELLING,A,ARTICLE,11,3615,1,165 TO 167 LOTT AVE
11212,169,TO 179 LOTT,AVE,MULTIPLE,DWELLING,A,ARTICLE,11,3615,1,169 TO 179 LOTT AVE
11212,185,TO 197 LOTT,AVE,MULTIPLE,DWELLING,A,ARTICLE,11,3616,1,185 TO 197 LOTT AVE
11212,199,TO 203 LOTT,AVE,MULTIPLE,DWELLING,A,ARTICLE,11,3616,1,199 TO 203 LOTT AVE
11212,205,LOTT,AVE,MULTIPLE,DWELLING,A,ARTICLE,11,3616,1,205 LOTT AVE
11212,211,LOTT,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3617,40,211 LOTT AVE
11212,215,LOTT,AVE,61,BROOKLYN,MULTIPLE,DWELLING,A,3617,40,215 LOTT AVE
